tconst,Title,Genres,runtime_minutes,vote_average,vote_count,budget_est,worldwide_gross,release_day,release_month,release_year
tt4438848,Neighbors 2: Sorority Rising,['Comedy'],92.0,5.7,105622.0,35000000.0,108758071.0,20,5,2016
tt3470600,Sing,"['Animation', 'Comedy', 'Drama', 'Family']",108.0,7.092843481297919,120254.0,75000000.0,634303234.0,21,12,2016
tt3062096,Inferno,"['Mystery', 'Thriller', 'Drama']",121.0,6.1918581778726685,142855.0,75000000.0,219770313.0,28,10,2016
tt3741834,Lion,['Drama'],118.0,8.1,185434.0,12000000.0,144941824.0,25,11,2016
tt3393786,Jack Reacher: Never Go Back,"['Action', 'Thriller']",118.0,6.088650850284229,124723.0,60000000.0,161046282.5,21,10,2016
tt2674426,Me Before You,"['Drama', 'Romance']",108.0,7.409870586019302,180506.0,20000000.0,208105136.5,3,6,2016
tt2567026,Alice Through the Looking Glass,"['Adventure', 'Family', 'Fantasy']",113.0,6.213622035962461,83754.0,170000000.0,288192568.0,27,5,2016
tt4034228,Manchester by the Sea,['Drama'],137.5,7.79562399819963,217733.0,8750000.0,78361007.5,18,11,2016
tt1386697,Suicide Squad,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",123.0,5.997524022452669,546572.0,175000000.0,746453390.5,5,8,2016
tt3522806,Mechanic: Resurrection,"['Action', 'Crime', 'Thriller']",98.0,5.697212588867695,69204.0,40000000.0,117734237.5,26,8,2016
tt1679335,Trolls,"['Adventure', 'Family', 'Comedy', 'Fantasy', 'Music', 'Animation']",92.0,6.502884541618719,65175.0,125000000.0,345507298.0,4,11,2016
tt3783958,La La Land,"['Comedy', 'Drama', 'Romance']",128.5,7.997752063447942,446098.0,25000000.0,436418693.5,9,12,2016
tt2267968,Kung Fu Panda 3,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",95.0,7.090113340609521,119110.0,142500000.0,519384983.5,29,1,2016
tt4550098,Nocturnal Animals,"['Drama', 'Thriller']",116.0,7.497998395660645,209432.0,22500000.0,30825829.5,18,11,2016
tt1289401,Ghostbusters,"['Action', 'Fantasy', 'Comedy']",116.5,5.203967087863649,190568.0,144000000.0,229078083.5,15,7,2016
tt4975722,Moonlight,['Drama'],111.0,7.4,231857.0,2750000.0,65146099.5,21,10,2016
tt2582782,Hell or High Water,"['Crime', 'Drama', 'Thriller', 'Western']",102.0,7.595862230841021,178937.0,12000000.0,37586800.0,12,8,2016
tt1628841,Independence Day: Resurgence,"['Action', 'Adventure', 'Science Fiction']",120.0,5.197544190135318,159255.0,165000000.0,386925679.5,24,6,2016
tt4572514,Patriots Day,"['Action', 'Drama', 'Thriller', 'Crime', 'History']",133.0,7.3913787544653795,77541.0,42500000.0,51693070.5,21,12,2016
tt2277860,Finding Dory,"['Adventure', 'Animation', 'Comedy', 'Family']",97.0,7.289369294493353,221387.0,200000000.0,1024893041.0,17,6,2016
tt3300542,London Has Fallen,"['Action', 'Thriller']",99.0,5.9,127348.0,60000000.0,200474266.0,4,3,2016
tt1700841,Sausage Party,"['Adventure', 'Animation', 'Comedy', 'Fantasy']",89.0,6.184436907706247,163348.0,19000000.0,141024788.5,12,8,2016
