genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,runtime,budget_est,revenue,imdb_id,req_title,production_companies
"[28, 18, 9648, 53]",2503,en,The Bourne Ultimatum,15.62,2007-08-03,The Bourne Ultimatum,7.4,4440,115.0,70000000.0,442824138.0,tt0440963,0.0,"['Universal Pictures', 'The Kennedy/Marshall Company', 'Ludlum Entertainment', 'Motion Picture BETA Produktionsgesellschaft', 'Bourne Again', 'KanZaman Services', 'Peninsula Films', 'Studio Babelsberg']"
"[12, 14, 28]",18823,en,Clash of the Titans,15.574000000000002,2010-04-02,Clash of the Titans,5.7,3714,106.0,125000000.0,493214993.0,tt0800320,0.0,"['The Zanuck Company', 'Legendary Pictures', 'Thunder Road', 'Moving Picture Company', 'Warner Bros. Pictures']"
"[35, 10749]",34806,en,The Back-Up Plan,15.49,2010-04-23,The Back-Up Plan,6.0,806,106.0,35000000.0,77477008.0,tt1212436,0.0,"['Escape Artists', 'CBS Films']"
"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,Robin Hood,6.3,2569,140.0,200000000.0,321669741.0,tt0955308,0.0,"['Scott Free Productions', 'Universal Pictures', 'Imagine Entertainment', 'Relativity Media']"
"[35, 14, 10751]",35019,en,Nanny McPhee and the Big Bang,15.213,2010-08-20,Nanny McPhee and the Big Bang,6.1,953,109.0,25000000.0,123276807.0,tt1415283,0.0,"['Three Strange Angels', 'Relativity Media', 'Working Title Films', 'StudioCanal']"
"[35, 12, 14, 16, 10751]",10192,en,Shrek Forever After,15.040999999999999,2010-05-16,Shrek Forever After,6.1,3843,93.0,165000000.0,752600867.0,tt0892791,0.0,['DreamWorks Animation']
[35],37735,en,Easy A,14.69,2010-09-17,Easy A,6.8,4168,93.0,8000000.0,74952305.0,tt1282140,0.0,"['Screen Gems', 'Olive Bridge Entertainment']"
"[14, 12, 28, 35, 18]",27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,109.0,150000000.0,215283742.0,tt0963966,0.0,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Broken Road Productions', 'Junction Entertainment']"
"[28, 35, 10749]",22538,en,Scott Pilgrim vs. the World,14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882,112.0,85000000.0,48000000.0,tt0446029,0.0,"['Universal Pictures', 'Marc Platt Productions', 'Big Talk Productions', 'Closed on Mondays Entertainment', 'DENTSU']"
[35],38365,en,Grown Ups,14.290999999999999,2010-06-24,Grown Ups,6.1,3171,102.0,80000000.0,271430189.0,tt1375670,0.0,"['Columbia Pictures', 'Relativity Media', 'Happy Madison Productions', 'Sony Pictures']"
"[35, 10749]",239,en,Some Like It Hot,14.2,1959-03-18,Some Like It Hot,8.2,1562,122.0,2883848.0,25000000.0,tt0053291,0.0,"['The Mirisch Company', 'Ashton Productions', 'United Artists']"
"[80, 18, 28, 53]",41283,en,Faster,14.172,2010-11-23,Faster,6.2,895,98.0,24000000.0,23081726.0,tt1433108,0.0,"['TriStar Pictures', 'Castle Rock Entertainment', 'State Street Pictures', 'CBS Films']"
